unique_id,regulatory_status,report_type,ingredient_category,ingredient,adulterant,fraud_type,pub_year,detection_method,ref,inline_ref
35359,Food Ingredients,Media,Sweeteners,Cane syrup,Low-grade of molasses combined with glucose syrup,Replacement,1880,NR,"Anonymous. 1880. Adulteration of Sugar; Refiners to address circular to the public; Glucose as an adulterating agent -- why more sugar is now required to sweeten a cup of coffee -- ""doctored"" molasses. The New York Times. April 2, 1880. http://query.nytimes.com/gst/abstract.html?res=9407E6DC1F31EE3ABC4A53DFB....  Accessed August 14, 2012.",Anonymous 1880
35360,Food Ingredients,Media,Sweeteners,Brown sugar,Low-grade sugar combined with glucose powder,Replacement,1880,NR,"Anonymous. 1880a. Adulteration of Sugar; Refiners to address circular to the public; Glucose as an adulterating agent -- why more sugar is now required to sweeten a cup of coffee -- ""doctored"" molasses. The New York Times. April 2, 1880. http://query.nytimes.com/gst/abstract.html?res=9407E6DC1F31EE3ABC4A53DFB....  Accessed August 14, 2012.",Anonymous 1880a
35174,Food Ingredients,Scholarly,Sweeteners,Sugar (Sucrose),??,Replacement,1881,??,Wiley HW. 1881. Adulteration of Sugar. Science 2(59): 372-373.,Wiley 1881
35433,Food Ingredients,Scholarly,Sweeteners,Brown sugar,Low-grade sugar combined with glucose powder,Replacement,1881,NR,Wiley HW. 1881. Adulteration of Sugar. Science 2(59): 372-373.,Wiley 1881
35434,Food Ingredients,Scholarly,Sweeteners,Cane syrup,Low-grade of molasses combined with glucose syrup,Replacement,1881,NR,Wiley HW. 1881. Adulteration of Sugar. Science 2(59): 372-373.,Wiley 1881
36182,Food Ingredients,Media,Spices,Spices,Ground coconut shells,Replacement,1899,NA,"Anonymous. 1899. Baking Powder War. Chicago Tribune May 9, 1899. Page 12. http://archives.chicagotribune.com/1899/05/09/#page/12/",Anonymous 1899
36183,Food Ingredients,Media,Spices,Spices,Ground peanut shells,Replacement,1899,NA,"Anonymous. 1899. Baking Powder War. Chicago Tribune May 9, 1899. Page 12. http://archives.chicagotribune.com/1899/05/09/#page/12/",Anonymous 1899
36184,Food Ingredients,Media,Milk,Milk (fluid),Formaldehyde,Addition,1901,NA,"Anonymous. 1901. One can was kept for the milk inspector. Los Angeles Daily Herald. Vol XXVIII No 126. February 4, 1901. Pages 1 & 4.",Anonymous 1901
36185,Food Ingredients,Media,Milk,Milk (fluid),Colors,Addition,1901,NA,"Anonymous. 1901. One can was kept for the milk inspector. Los Angeles Daily Herald. Vol XXVIII No 126. February 4, 1901. Pages 1 & 4.",Anonymous 1901
36186,Food Ingredients,Media,Milk,Milk (fluid),Water,Replacement,1901,NA,"Anonymous. 1901. One can was kept for the milk inspector. Los Angeles Daily Herald. Vol XXVIII No 126. February 4, 1901. Pages 1 & 4.",Anonymous 1901
36525,Food Ingredients,Other,Spices,Allspice,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36526,Food Ingredients,Other,Spices,Cloves,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36527,Food Ingredients,Other,Spices,Black pepper,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36528,Food Ingredients,Other,Spices,Cayenne pepper,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36529,Food Ingredients,Other,Spices,Cinnamon,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36530,Food Ingredients,Other,Spices,Ginger,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36531,Food Ingredients,Other,Spices,Mustard,Artificially colored filler,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36532,Food Ingredients,Other,Spices,Spices,Peanut shells,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36533,Food Ingredients,Other,Spices,Spices,Coconut hulls,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36534,Food Ingredients,Other,Spices,Spices,Brick dust,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36535,Food Ingredients,Other,Spices,Spices,Flour,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36536,Food Ingredients,Other,Spices,Spices,Ground corn,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36537,Food Ingredients,Other,Spices,Spices,Cracker meal,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36538,Food Ingredients,Other,Spices,Spices,Ground rice,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36539,Food Ingredients,Other,Spices,Spices,Ground pepper husks,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36540,Food Ingredients,Other,Spices,Spices,Ground olive stone,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36541,Food Ingredients,Other,Spices,Spices,Carbonate of lime,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36542,Food Ingredients,Other,Spices,Spices,Ground mustard husks,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36543,Food Ingredients,Other,Spices,Spices,Turmeric,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36544,Food Ingredients,Other,Spices,Spices,Gypsum,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36545,Food Ingredients,Other,Spices,Spices,Clay,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
36546,Food Ingredients,Other,Spices,Spices,Buckwheat,Replacement,1903,NA,"Blair, A.W. 1903. Spices and Condiments. Report from the Florida agricultural experiment station, department of chemistry, food adulteration.  Press Bulletin No. 42. November 1, 1903.  http://ufdc.ufl.edu/UF00090429/00001/",Blair 1903
35484,Food Ingredients,Scholarly,Natural flavoring complexes,Cassia oil*,Cedarwood oil,Replacement,1916,Specific gravity and solubility in 80% alcohol,Gildemeister E. 1916. 270. Cassia Oil. Part 2. The Volatile Oils Vol 2. John Wiley and Sons.,Gildemeister 1916
35485,Food Ingredients,Scholarly,Natural flavoring complexes,Cassia oil*,Gurjun balsam oil,Replacement,1916,Specific gravity and solubility in 80% alcohol,Gildemeister E. 1916. 270. Cassia Oil. Part 2. The Volatile Oils Vol 2. John Wiley and Sons.,Gildemeister 1917
35486,Food Ingredients,Scholarly,Natural flavoring complexes,Cassia oil*,Rosin and petroleum,Replacement,1916,Detection of adulterants by distillation test,Gildemeister E. 1916. 270. Cassia Oil. Part 2. The Volatile Oils Vol 2. John Wiley and Sons.,Gildemeister 1918
35609,Food Ingredients,Scholarly,"Wines, musts, spirits, liquors, and vinegars",Jamaica ginger,Tri-ortho cresyl phosphate,Replacement,1930,NR,"Smith MI, Elvove E, Frazier WH. 1930. The pharmacological  action of certain phenol esters, with special reference to the etiolgy of so-called ginger paralysis.  Public Health Rep 45: 2509-2524.",Smith and others 1930
35207,Food Ingredients,Media,Oils,Cooking oil,Aircraft machine oil,Replacement,1959,NR,"Anonymous. 1959. Wrong kind of oil paralyzes 10,000. Life Nov. 30: 32.",Anonymous 1959
35208,Food Ingredients,Media,Oils,Cooking oil,Aircraft machine oil,Replacement,1960,NR,Anonymous. 1960. 'Fraud' cooking oil trials start today. The Windsor Star April 11: 12.,Anonymous 1960
36501,Food Ingredients,Scholarly,Dairy products and milk derivatives,Butter,Hydrogenated fats,Replacement,1961,IR,"Bartlet, J. C., & Chapman, D. G. (1961). Butter adulteration, detection of hydrogenated fats in butter fat by measurement of cis-trans conjugated unsaturation. Journal of Agricultural and Food Chemistry, 9(1), 50-53. http://pubs.acs.org/doi/abs/10.1021/jf60113a015",Bartlet and Chapman 1961
35590,Food Ingredients,Scholarly,Oils,Mustard oil,Mineral oil contaminated with ortho-cresyl-phosphate,Replacement,1962,NR,"Vora DD, Dastur DK, Braganca BM, Parihar LM, Iyer CGS, Fondekar RB, Prabhakaran K. 1962 Toxic polyneuritis in Bombay due to Ortho-cresyl-phosphate poisoning. J Neurol Neurosurg Psychiatry 25: 234-42.",Vora and others 1962
35591,Food Ingredients,Scholarly,Oils,Olive oil,Lubricating oil contaminted with ortho-cresyl phophate,Replacement,1962,NR,"Travers PR. 1962. The results of intoxication with orthocresyl phosphate absorbed from  contaminated cooking oil, as seen in 4,029 patients in Morocco. Proceedings of the Royal Society of Medicine 55:57-60.",Travers 1962
