adulterant,ingredient_category,pair_count,chem_count,cat_count
Melamine,Milk,35,70,408
Melamine,"Cereals, grains, and pulses",12,70,88
Melamine,Dairy products and milk derivatives,10,70,85
Melamine,Protein-based ingredients,7,70,35
Melamine,Animal feed,4,70,12
Melamine,Other,1,70,221
Melamine,Sweeteners,1,70,173
Melamine,Oils,0,70,495
Melamine,Spices,0,70,351
Melamine,Natural flavoring complexes,0,70,173
Melamine,"Fruit juices, concentrates, jams, purees, and preserves",0,70,167
Melamine,Seafood,0,70,134
Melamine,"Wines, musts, spirits, liquors, and vinegars",0,70,73
Melamine,Meats,0,70,40
Melamine,Preservatives,0,70,35
Melamine,Functional food ingredients,0,70,34
Melamine,Gums,0,70,30
Melamine,Flavor chemicals,0,70,17
Melamine,Emulsifiers,0,70,12
Melamine,Colors,0,70,5
Melamine,Nuts and nut-derived ingredients,0,70,5
Hazelnut oil,Oils,47,47,495
Hazelnut oil,Milk,0,47,408
Hazelnut oil,Spices,0,47,351
Hazelnut oil,Other,0,47,221
Hazelnut oil,Natural flavoring complexes,0,47,173
Hazelnut oil,Sweeteners,0,47,173
Hazelnut oil,"Fruit juices, concentrates, jams, purees, and preserves",0,47,167
Hazelnut oil,Seafood,0,47,134
Hazelnut oil,"Cereals, grains, and pulses",0,47,88
Hazelnut oil,Dairy products and milk derivatives,0,47,85
Hazelnut oil,"Wines, musts, spirits, liquors, and vinegars",0,47,73
Hazelnut oil,Meats,0,47,40
Hazelnut oil,Preservatives,0,47,35
Hazelnut oil,Protein-based ingredients,0,47,35
Hazelnut oil,Functional food ingredients,0,47,34
Hazelnut oil,Gums,0,47,30
Hazelnut oil,Flavor chemicals,0,47,17
Hazelnut oil,Animal feed,0,47,12
Hazelnut oil,Emulsifiers,0,47,12
Hazelnut oil,Colors,0,47,5
Hazelnut oil,Nuts and nut-derived ingredients,0,47,5
Sunflower oil,Oils,46,47,495
Sunflower oil,Dairy products and milk derivatives,1,47,85
Sunflower oil,Milk,0,47,408
Sunflower oil,Spices,0,47,351
Sunflower oil,Other,0,47,221
Sunflower oil,Natural flavoring complexes,0,47,173
Sunflower oil,Sweeteners,0,47,173
Sunflower oil,"Fruit juices, concentrates, jams, purees, and preserves",0,47,167
Sunflower oil,Seafood,0,47,134
Sunflower oil,"Cereals, grains, and pulses",0,47,88
Sunflower oil,"Wines, musts, spirits, liquors, and vinegars",0,47,73
Sunflower oil,Meats,0,47,40
Sunflower oil,Preservatives,0,47,35
Sunflower oil,Protein-based ingredients,0,47,35
Sunflower oil,Functional food ingredients,0,47,34
Sunflower oil,Gums,0,47,30
Sunflower oil,Flavor chemicals,0,47,17
Sunflower oil,Animal feed,0,47,12
Sunflower oil,Emulsifiers,0,47,12
Sunflower oil,Colors,0,47,5
Sunflower oil,Nuts and nut-derived ingredients,0,47,5
Oil from non-authentic botanical origin,Oils,42,43,495
Oil from non-authentic botanical origin,Natural flavoring complexes,1,43,173
Oil from non-authentic botanical origin,Milk,0,43,408
Oil from non-authentic botanical origin,Spices,0,43,351
Oil from non-authentic botanical origin,Other,0,43,221
Oil from non-authentic botanical origin,Sweeteners,0,43,173
Oil from non-authentic botanical origin,"Fruit juices, concentrates, jams, purees, and preserves",0,43,167
Oil from non-authentic botanical origin,Seafood,0,43,134
Oil from non-authentic botanical origin,"Cereals, grains, and pulses",0,43,88
Oil from non-authentic botanical origin,Dairy products and milk derivatives,0,43,85
Oil from non-authentic botanical origin,"Wines, musts, spirits, liquors, and vinegars",0,43,73
Oil from non-authentic botanical origin,Meats,0,43,40
Oil from non-authentic botanical origin,Preservatives,0,43,35
Oil from non-authentic botanical origin,Protein-based ingredients,0,43,35
Oil from non-authentic botanical origin,Functional food ingredients,0,43,34
Oil from non-authentic botanical origin,Gums,0,43,30
Oil from non-authentic botanical origin,Flavor chemicals,0,43,17
Oil from non-authentic botanical origin,Animal feed,0,43,12
Oil from non-authentic botanical origin,Emulsifiers,0,43,12
Oil from non-authentic botanical origin,Colors,0,43,5
Oil from non-authentic botanical origin,Nuts and nut-derived ingredients,0,43,5
Soybean oil,Oils,40,43,495
Soybean oil,Milk,1,43,408
Soybean oil,Other,1,43,221
Soybean oil,Dairy products and milk derivatives,1,43,85
Soybean oil,Spices,0,43,351
Soybean oil,Natural flavoring complexes,0,43,173
Soybean oil,Sweeteners,0,43,173
Soybean oil,"Fruit juices, concentrates, jams, purees, and preserves",0,43,167
Soybean oil,Seafood,0,43,134
Soybean oil,"Cereals, grains, and pulses",0,43,88
Soybean oil,"Wines, musts, spirits, liquors, and vinegars",0,43,73
Soybean oil,Meats,0,43,40
Soybean oil,Preservatives,0,43,35
Soybean oil,Protein-based ingredients,0,43,35
Soybean oil,Functional food ingredients,0,43,34
Soybean oil,Gums,0,43,30
Soybean oil,Flavor chemicals,0,43,17
Soybean oil,Animal feed,0,43,12
Soybean oil,Emulsifiers,0,43,12
Soybean oil,Colors,0,43,5
Soybean oil,Nuts and nut-derived ingredients,0,43,5
Milk (bovine),Milk,40,41,408
Milk (bovine),Dairy products and milk derivatives,1,41,85
Milk (bovine),Oils,0,41,495
Milk (bovine),Spices,0,41,351
Milk (bovine),Other,0,41,221
Milk (bovine),Natural flavoring complexes,0,41,173
Milk (bovine),Sweeteners,0,41,173
Milk (bovine),"Fruit juices, concentrates, jams, purees, and preserves",0,41,167
Milk (bovine),Seafood,0,41,134
Milk (bovine),"Cereals, grains, and pulses",0,41,88
Milk (bovine),"Wines, musts, spirits, liquors, and vinegars",0,41,73
Milk (bovine),Meats,0,41,40
Milk (bovine),Preservatives,0,41,35
Milk (bovine),Protein-based ingredients,0,41,35
Milk (bovine),Functional food ingredients,0,41,34
Milk (bovine),Gums,0,41,30
Milk (bovine),Flavor chemicals,0,41,17
Milk (bovine),Animal feed,0,41,12
Milk (bovine),Emulsifiers,0,41,12
Milk (bovine),Colors,0,41,5
Milk (bovine),Nuts and nut-derived ingredients,0,41,5
Corn oil,Oils,29,31,495
Corn oil,Other,1,31,221
Corn oil,Dairy products and milk derivatives,1,31,85
Corn oil,Milk,0,31,408
Corn oil,Spices,0,31,351
Corn oil,Natural flavoring complexes,0,31,173
Corn oil,Sweeteners,0,31,173
Corn oil,"Fruit juices, concentrates, jams, purees, and preserves",0,31,167
Corn oil,Seafood,0,31,134
Corn oil,"Cereals, grains, and pulses",0,31,88
Corn oil,"Wines, musts, spirits, liquors, and vinegars",0,31,73
Corn oil,Meats,0,31,40
Corn oil,Preservatives,0,31,35
