adulterant,category,instances
pesticide,Vegetables and Vegetable Products,8406
salmonella,Fishery/Seafood Products,6438
salmonella,"Spices, Flavors, and Salts",4637
color additive,"Candy without Chocolate, Candy Specialties, and Chewing Gum",3822
pesticide,Fruit and Fruit Products,2254
color additive,"Bakery Products, Doughs, Bakery Mixes, and Icings",2201
animal drug,Fishery/Seafood Products,1569
color additive,Fruit and Fruit Products,1339
color additive,Soft Drinks and Waters,1305
color additive,"Snack Food Items (Flour, Meal, or Vegetable Base)",1107
salmonella,Fruit and Fruit Products,1024
listeria,Cheese and Cheese Products,928
listeria,Fishery/Seafood Products,890
color additive,Chocolate and Cocoa Products,845
pesticide,"Spices, Flavors, and Salts",674
salmonella,Vegetables and Vegetable Products,673
histamine,Fishery/Seafood Products,589
nitrofurans,Fishery/Seafood Products,577
salmonella,Nuts and Edible Seeds,575
color additive,Vegetables and Vegetable Products,521
color additive,Beverage Bases,436
color additive,"Spices, Flavors, and Salts",426
melamine,"Bakery Products, Doughs, Bakery Mixes, and Icings",389
cyclamate,Fruit and Fruit Products,377
pesticide,"Vitamins, Minerals, Proteins, and Unconventional Dietary Specialties for Humans",351
chloramphenicol,Fishery/Seafood Products,335
color additive,"Gelatin, Rennet, Pudding Mixes, and Pie Fillings",310
mycotoxin,Nuts and Edible Seeds,309
salmonella,"Snack Food Items (Flour, Meal, or Vegetable Base)",302
color additive,"Color Additives for Foods, Drugs, and Cosmetics",289
color additive,Nuts and Edible Seeds,253
color additive,"Multiple Food Dinners, Gravies, Sauces, and Specialties (Total Diet)",234
color additive,"Vitamins, Minerals, Proteins, and Unconventional Dietary Specialties for Humans",225
salmonella,Cheese and Cheese Products,225
pesticide,"Whole Grains, Milled Grain Products, and Starch",217
animal drug,"Vitamins, Minerals, Proteins, and Unconventional Dietary Specialties for Humans",217
listeria,"Multiple Food Dinners, Gravies, Sauces, and Specialties (Total Diet)",207
fd&c yellow #5,"Bakery Products, Doughs, Bakery Mixes, and Icings",190
pesticide,Dressings and Condiments,167
color additive,Ice Cream and Related Products,162
color additive,"Whole Grains, Milled Grain Products, and Starch",160
melamine,Chocolate and Cocoa Products,157
color additive,Macaroni and Noodle Products,146
color additive,Food Sweeteners (Nutritive),141
salmonella,"Vitamins, Minerals, Proteins, and Unconventional Dietary Specialties for Humans",136
listeria,Fruit and Fruit Products,136
color additive,Fishery/Seafood Products,129
color additive,Dressings and Condiments,128
fd&c yellow #5,"Candy without Chocolate, Candy Specialties, and Chewing Gum",122
pesticide,Nuts and Edible Seeds,117
lead,"Candy without Chocolate, Candy Specialties, and Chewing Gum",115
fd&c yellow #5,Vegetables and Vegetable Products,108
salmonella,"Meat, Meat Products, and Poultry",107
salmonella,"Candy without Chocolate, Candy Specialties, and Chewing Gum",98
salmonella,"Bakery Products, Doughs, Bakery Mixes, and Icings",95
fd&c yellow #5,"Snack Food Items (Flour, Meal, or Vegetable Base)",93
mycotoxin,"Candy without Chocolate, Candy Specialties, and Chewing Gum",91
color additive,Food Additives - for Human Use,85
fd&c yellow #5,Soft Drinks and Waters,71
color additive,Cheese and Cheese Products,70
color additive,Dietary Conventional Foods and Meal Replacements,61
cesium,Vegetables and Vegetable Products,59
ephedrine alkaloids,"Vitamins, Minerals, Proteins, and Unconventional Dietary Specialties for Humans",58
lead,Miscellaneous Food Related Items,56
salmonella,"Multiple Food Dinners, Gravies, Sauces, and Specialties (Total Diet)",55
color additive,"Cereal Preparations, Breakfast Foods",49
salmonella,Coffee and Tea,48
melamine,"Whole Grains, Milled Grain Products, and Starch",45
coumarin,"Spices, Flavors, and Salts",42
melamine,"Snack Food Items (Flour, Meal, or Vegetable Base)",42
sulfites,Fruit and Fruit Products,40
cyclamate,Vegetables and Vegetable Products,39
pesticide,Coffee and Tea,37
lead,Fruit and Fruit Products,36
salmonella,"Whole Grains, Milled Grain Products, and Starch",36
fd&c yellow #5,Fruit and Fruit Products,35
chloramphenicol,Food Sweeteners (Nutritive),34
fd&c yellow #5,"Spices, Flavors, and Salts",33
salmonella,Macaroni and Noodle Products,33
mycotoxin,"Whole Grains, Milled Grain Products, and Starch",32
sulfites,Vegetables and Vegetable Products,32
fd&c yellow #5,Chocolate and Cocoa Products,32
cyclamate,Soft Drinks and Waters,31
fd&c yellow #5,Beverage Bases,30
