ingredient,function,form,id_test,assay,type,sort_name
Acesulfame Potassium,"Flavor Enhancer, Non Nutritive Sweetener","White, Free Flowing, Crystalline Powder",All ID tests listed in monograph,All assays listed in monograph,low_suscept,Acesulfamepotassium
Acetaldehyde,Flavoring Agent,"Flammable, Colorless Liquid",Infrared spectra,Procedure,pending,Acetaldehyde
Acetaldehyde Diethyl Acetal,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Acetaldehydediethylacetal
Acetanisole,Flavoring Agent,Colorless To Pale Yellow Fused Solid,Infrared spectra,Procedure,pending,Acetanisole
"Acetic Acid, Glacial","Acidifier, Flavoring Agent","Clear, Colorless Liquid",Acetate,Procedure,pending,Aceticacidglacial
Acetoin (Dimer),Flavoring Agent,White To Pale Yellow Powder,None,Procedure,pending,Acetoindimer
Acetoin (Monomer),Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Acetoinmonomer
Acetone,Extraction Solvent,"Clear, Colorless, Volatile Liquid",Procedure,Procedure,high_suscept_id,Acetone
Acetone Peroxides,"Bleaching Agent, Dough Conditioner, Maturing Agent","Fine, White, Free Flowing Powder (Usually Mixed With An Edible Carrier)",Procedure,Procedure,high_suscept_id,Acetoneperoxides
Acetophenone,Flavoring Agent,Practically Colorless Liquid,Infrared spectra,Procedure,pending,Acetophenone
Acetylated Monoglycerides,"Coating Agent, Emulsifier, Lubricant, Solvent, Texture Modifying Agent","Clear, Thin Liquids Or Solids, Ranging In Color From White To Pale Yellow",None,None,pending,Acetylatedmonoglycerides
"3 Acetyl 2,5 Dimethyl Furan",Flavoring Agent,Yellow Liquid,Infrared spectra,Procedure,pending,Acetyldimethylfuran
N Acetyl L Methionine,Nutrient,"Colorless Or Lustrous, White, Crystalline Solid Or White Powder",Infrared absorption,Procedure,high_suscept_id,Acetylmethionine
2 Acetylpyrazine,Flavoring Agent,Colorless To Pale Yellow Crystals,Infrared spectra,Procedure,pending,Acetylpyrazine
3 Acetylpyridine,Flavoring Agent,Colorless To Yellow Liquid,Infrared spectra,Procedure,pending,Acetylpyridine
2 Acetylpyrrole,Flavoring Agent,White To Pale Brown Fine Crystal,None,Procedure,pending,Acetylpyrrole
2 Acetyl Thiazole,Flavoring Agent,Colorless To Pale Yellow Liquid,Infrared spectra,Procedure,pending,Acetylthiazole
Acid Hydrolysates Of Proteins,"Flavor Enhancer, Flavoring Agent","Liquids, Pastes, Powders, Or Granules",None,Total nitrogen,high_suscept,Acidhydrolysatesofproteins
