,classification,date_case,date_last_change,reference,country,type,category,subject
0,alert,21/09/2015,25/09/2015,2015.1191,Denmark,food,"dietetic foods, food supplements, fortified foods",Garcinia cambogia Desr (1200 mg/item) in food supplement from Sweden
1,border rejection,14/09/2015,25/09/2015,2015.BLR,Italy,food,fruits and vegetables,too high content of copper (70 mg/kg - ppm) in vine leaves in brine from Turkey
2,border rejection,03/09/2015,14/09/2015,2015.BJY,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (18.8; 32.7 mg/kg - ppm) in food supplement from China
3,alert,27/08/2015,29/09/2015,2015.1107,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (>60 mg/item) in food supplements from unknown origin, via the Netherlands"
4,alert,26/08/2015,28/09/2015,2015.1104,Finland,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue in food supplement from Latvia, via Estonia"
5,alert,21/08/2015,14/09/2015,2015.1089,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin E (92 g/100g) in food supplements from China, packaged in Germany, via the Netherlands"
6,information for attention,10/08/2015,21/08/2015,2015.1034,Spain,food,"cocoa and cocoa preparations, coffee and tea",adverse reaction (to egg not declared on the packaging in Spanish) caused by dark chocolate coated gluten free biscuits from France
7,information for follow-up,07/08/2015,30/09/2015,2015.1019,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market of herbal tea containing senna from Thailand
8,border rejection,29/07/2015,04/08/2015,2015.BGA,United Kingdom,food,non-alcoholic beverages,unauthorised substance ethylenediaminetetraacetic acid (EDTA) in sparkling citrus drink from the Philippines
9,border rejection,22/07/2015,29/07/2015,2015.BEU,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market (Anacylus pyrethrum, contains L-leucine, L-isoleucine and L-valine as BCAAs) of, unauthorised novel food ingredient Dendrobium nobile, novel food ingredient Eurycoma longifolia and novel food ingredient Mucuna pruriens and unauthorised substances vanadium and arginine alphaketoglutarate in food supplements from the United States"
10,information for follow-up,20/07/2015,26/08/2015,2015.0948,Norway,food,"dietetic foods, food supplements, fortified foods",unauthorised substances papain and bromelain in food supplements from the Czech Republic
11,information for follow-up,17/07/2015,24/07/2015,2015.0940,Norway,food,"dietetic foods, food supplements, fortified foods",unauthorised substance synephrine in food supplement from the Czech Republic
