classification,date_case,date_last_change,reference,country,type,category,subject,hazard,chemical,amount,product,origin
alert,21/09/2015,25/09/2015,2015.1191,Denmark,food,"dietetic foods, food supplements, fortified foods",Garcinia cambogia Desr (1200 mg/item) in food supplement from Sweden,co,Garcinia cambogia Desr,1200 mg/item,food supplement,Sweden
border rejection,14/09/2015,25/09/2015,2015.BLR,Italy,food,fruits and vegetables,too high content of copper (70 mg/kg - ppm) in vine leaves in brine from Turkey,co,copper,70 mg/kg - ppm,vine leaves in brine,Turkey
border rejection,03/09/2015,14/09/2015,2015.BJY,Czech Republic,food,"dietetic foods, food supplements, fortified foods",unauthorised substance sildenafil (18.8; 32.7 mg/kg - ppm) in food supplement from China,co,sildenafil,18.8; 32.7 mg/kg - ppm,food supplement,China
alert,27/08/2015,29/09/2015,2015.1107,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (>60 mg/item) in food supplements from unknown origin, via the Netherlands",co,vitamin B6,>60 mg/item,food supplement,"unknown origin, via the Netherlands"
alert,26/08/2015,28/09/2015,2015.1104,Finland,food,"dietetic foods, food supplements, fortified foods","unauthorised substance sildenafil thiono analogue in food supplement from Latvia, via Estonia",co,sildenafil thiono analogue,,food supplement,"Latvia, via Estonia"
alert,21/08/2015,14/09/2015,2015.1089,Germany,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin E (92 g/100g) in food supplements from China, packaged in Germany, via the Netherlands",co,vitamin E,92 g/100g,food supplement,"China, packaged in Germany, via the Netherlands"
information for attention,10/08/2015,21/08/2015,2015.1034,Spain,food,"cocoa and cocoa preparations, coffee and tea",adverse reaction (to egg not declared on the packaging in Spanish) caused by dark chocolate coated gluten free biscuits from France,co,,to egg not declared on the packaging,spanish) caused by dark chocolate coated gluten free biscuits,France
information for follow-up,07/08/2015,30/09/2015,2015.1019,Sweden,food,"dietetic foods, food supplements, fortified foods",unauthorised placing on the market of herbal tea containing senna from Thailand,co,,,herbal tea containing senna,Thailand
border rejection,29/07/2015,04/08/2015,2015.BGA,United Kingdom,food,non-alcoholic beverages,unauthorised substance ethylenediaminetetraacetic acid (EDTA) in sparkling citrus drink from the Philippines,co,ethylenediaminetetraacetic acid,EDTA,sparkling citrus drink,the Philippines
border rejection,22/07/2015,29/07/2015,2015.BEU,Portugal,food,"dietetic foods, food supplements, fortified foods","unauthorised placing on the market (Anacylus pyrethrum, contains L-leucine, L-isoleucine and L-valine as BCAAs) of, unauthorised novel food ingredient Dendrobium nobile, novel food ingredient Eurycoma longifolia and novel food ingredient Mucuna pruriens and unauthorised substances vanadium and arginine alphaketoglutarate in food supplements from the United States",co,,"Anacylus pyrethrum, contains L-leucine, L-isoleucine and L-valine as BCAAs",food supplement,the United States
information for follow-up,20/07/2015,26/08/2015,2015.0948,Norway,food,"dietetic foods, food supplements, fortified foods",unauthorised substances papain and bromelain in food supplements from the Czech Republic,co,papain,,food supplement,the Czech Republic
information for follow-up,17/07/2015,24/07/2015,2015.0940,Norway,food,"dietetic foods, food supplements, fortified foods",unauthorised substance synephrine in food supplement from the Czech Republic,co,synephrine,,food supplement,the Czech Republic
alert,17/07/2015,17/07/2015,2015.0937,France,food,"dietetic foods, food supplements, fortified foods","too high content of vitamin B6 (1.82 g/100g) in food supplement from unknown origin, via the Netherlands",co,vitamin B6,1.82 g/100g,food supplement,"unknown origin, via the Netherlands"
alert,16/07/2015,21/08/2015,2015.0935,Sweden,food,"dietetic foods, food supplements, fortified foods",too high content of vitamin B6 (100 mg/item) in food supplement from Belgium,co,vitamin B6,100 mg/item,food supplement,Belgium
information for attention,16/07/2015,17/08/2015,2015.0932,Cyprus,food,"dietetic foods, food supplements, fortified foods",unauthorised substance tadalafil (27.6 mg) in food supplement from the United States,co,tadalafil,27.6 mg,food supplement,the United States
information for follow-up,15/07/2015,28/07/2015,2015.0926,United Kingdom,food,fats and oils,too high content of erucic acid (15.9 g/100g) in blended mustard oil from Germany,co,erucic acid,15.9 g/100g,blended mustard oil,Germany
alert,14/07/2015,29/09/2015,2015.0910,Denmark,food,"cocoa and cocoa preparations, coffee and tea","high content of Senna alexandrina Mill. in herbal infusion from Thailand, via the Netherlands",co,Senna alexandrina Mill.,,herbal infusion,"Thailand, via the Netherlands"
border rejection,13/07/2015,13/07/2015,2015.BDL,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (1.0 mg/kg - ppm) in palm oil from Nigeria,co,colour Sudan 4,1.0 mg/kg - ppm,palm oil,Nigeria
alert,08/07/2015,08/07/2015,2015.0874,Germany,food,cereals and bakery products,high content of aluminium (253 mg/kg - ppm) in glass noodles from Vietnam,co,aluminium,253 mg/kg - ppm,glass noodle,Vietnam
border rejection,30/06/2015,30/06/2015,2015.BBQ,United Kingdom,food,fats and oils,unauthorised colour Sudan 4 (0.8 mg/kg - ppm) in palm oil from Ghana,co,colour Sudan 4,0.8 mg/kg - ppm,palm oil,Ghana
alert,25/06/2015,30/07/2015,2015.0816,Cyprus,food,"dietetic foods, food supplements, fortified foods","unauthorised substance yohimbine (0.5 mg/item) in food supplement from the United States, via Slovakia and via Hungary",co,yohimbine,0.5 mg/item,food supplement,"the United States, via Slovakia and via Hungary"
alert,22/06/2015,30/07/2015,2015.0798,Czech Republic,food,"nuts, nut products and seeds",high content of morphine (59.13 mg/kg - ppm) in ground poppy seeds from the Czech Republic,co,morphine,59.13 mg/kg - ppm,ground poppy seed,the Czech Republic
information for follow-up,17/06/2015,27/07/2015,2015.0772,Norway,food,fats and oils,unauthorised placing on the market of cod liver oil from Norway,co,,,cod liver oil,Norway
alert,17/06/2015,02/07/2015,2015.0776,Czech Republic,food,"nuts, nut products and seeds","high content of morphine (69.61 mg/kg - ppm) in grey poppy seeds from France, via Poland",co,morphine,69.61 mg/kg - ppm,grey poppy seed,"France, via Poland"
information for attention,15/06/2015,14/07/2015,2015.0762,United Kingdom,food,other food product / mixed,unauthorised colour Rhodamine B (20 mg/kg - ppm) in pan masala from Pakistan,co,colour Rhodamine B,20 mg/kg - ppm,pan masala,Pakistan
alert,12/06/2015,02/09/2015,2015.0757,Czech Republic,food,"dietetic foods, food supplements, fortified foods","unauthorised substances progesterone (2.56 mg/kg - ppm) and androstenedione (3.02 mg/kg - ppm) in food supplement from India, via Latvia",co,progesterone,2.56 mg/kg - ppm,food supplement,"India, via Latvia"
information for follow-up,12/06/2015,12/06/2015,2015.0752,Lithuania,food,"dietetic foods, food supplements, fortified foods","unauthorised substance d-aspartic acid in food supplement from the United States, via the United Kingdom",co,d-aspartic acid,,food supplement,"the United States, via the United Kingdom"
