,classification,date_case,date_last_change,reference,country,type,category,subject
0,information for follow-up,25/09/2015,25/09/2015,2015.1209,Lithuania,food,"dietetic foods, food supplements, fortified foods",E 218 - methyl-p-hydroxybenzoate unauthorised and unauthorised food additive E 216 - propyl p-hydroxybenzoate in food supplement - syrup from Bulgaria
1,alert,24/09/2015,24/09/2015,2015.1206,Germany,food,alcoholic beverages,undeclared phenylalanine (27 mg/l) in beer with soft drink from Germany
2,information for attention,24/09/2015,24/09/2015,2015.1203,Spain,food,crustaceans and products thereof,too high content of sulphite (402 mg/kg - ppm) in frozen rose shrimps (Parapenaus longirostris) from Tunisia
3,border rejection,21/09/2015,21/09/2015,2015.BMG,Finland,food,fruits and vegetables,too high content of sulphite (175; 245 mg/kg - ppm) and unauthorised use of colour E 102 - tartrazine (presence) in pickled sour mustard from Thailand
4,border rejection,17/09/2015,17/09/2015,2015.BLZ,Bulgaria,food,fruits and vegetables,too high content of sulphite (2087 mg/kg - ppm) in dried apricots from Turkey
5,information for attention,14/09/2015,25/09/2015,2015.1167,Slovakia,food,fruits and vegetables,"too high content of sulphite (74 mg/kg - ppm) in dried plums manufactured in Slovakia, with raw material from Chile"
6,border rejection,11/09/2015,11/09/2015,2015.BLK,Slovakia,food,fruits and vegetables,unauthorised use of colour E 122 - azorubine (64 mg/kg - ppm) in pickled horseradish from Ukraine
7,information for follow-up,10/09/2015,10/09/2015,2015.1156,Italy,food,crustaceans and products thereof,too high content of sulphite (586 mg/kg - ppm) in chilled scampi from Croatia
8,information for follow-up,28/08/2015,14/09/2015,2015.1115,Germany,food,non-alcoholic beverages,high content of caffeine (638 mg/l) in coffee taste drink from Austria
9,information for attention,14/08/2015,27/08/2015,2015.1061,Italy,food,fruits and vegetables,"too high content of E 210 - benzoic acid (3777 mg/kg - ppm) in preserved radish (Raphanus sativus) from China, via Hong Kong"
10,information for follow-up,13/08/2015,24/09/2015,2015.1054,Finland,food,non-alcoholic beverages,E 200 - sorbic acid (530 mg/l) unauthorised in energy drink from the Netherlands
11,information for follow-up,12/08/2015,27/08/2015,2015.1041,Italy,food,crustaceans and products thereof,"too high content of sulphite (858 mg/kg - ppm) in frozen  headless shell-on shrimps (Metapenaeus affinis) from India, via Denmark"
12,information for attention,10/08/2015,11/08/2015,2015.1027,Italy,food,fish and fish products,E 452 - polyphosphates (presence) unauthorised in chilled plaice fillets (Pleuronectes platessa) from the Netherlands
13,border rejection,07/08/2015,01/09/2015,2015.BHG,Bulgaria,food,fruits and vegetables,too high content of sulphite (3103 mg/kg - ppm) in dried apricots from Turkey
14,border rejection,07/08/2015,17/08/2015,2015.BHF,Italy,food,non-alcoholic beverages,too high content of colour E 124 - Ponceau 4R / cochineal red A (44.3 mg/l) in flavored beverage from Sri Lanka
15,information for follow-up,31/07/2015,11/09/2015,2015.1000,Lithuania,food,"dietetic foods, food supplements, fortified foods","E 912 - montan acid esters unauthorised in food supplement from Latvia, manufactured in Germany"
16,information for attention,31/07/2015,04/08/2015,2015.0999,Italy,food,crustaceans and products thereof,too high content of sulphite (208 mg/kg - ppm) in cooked whiteleg shrimps (Penaeus vannamei) from Spain
17,information for follow-up,29/07/2015,04/08/2015,2015.0983,Italy,food,crustaceans and products thereof,too high content of sulphite (475 mg/kg - ppm) in Norway lobsters (Nephrops norvegicus) from Croatia
